session_id,user_id,role,duration_minutes,total_actions,file_copy_count,usb_connect_count,is_after_hours,user_terminated
{T1E9-L7FQ46WI-0568EVQS},MPM0220,ITAdmin,350.1166666666667,146,35,9,0,True
{P3L6-C8GK32CG-3305JXCL},MPM0220,ITAdmin,495.0,179,34,10,0,True
{J7L6-C8PO07ZA-6207HOJX},MPM0220,ITAdmin,504.0,179,34,10,0,True
{S1W3-X2AP54AI-2361WQPZ},MPM0220,ITAdmin,300.7,131,33,9,0,True
{G4V7-S3XI43WU-7216HKCD},MPM0220,ITAdmin,495.0,167,33,10,0,True
{O0N6-O2ND99IU-2565DPNG},MPM0220,ITAdmin,357.3666666666667,149,32,10,0,True
{B2H3-H7YO15RH-8365YFOB},MPM0220,ITAdmin,481.0,178,31,11,0,True
{B6F7-K1OU44RW-7788BBCL},SNC0187,Technician,684.0,61,27,1,0,True
{X5A6-B3UX97RZ-4277LKHG},RRC0553,Physicist,369.0833333333333,88,27,2,0,True
{S4J6-X3ZO34VZ-5140NJAZ},RRC0553,Physicist,618.0,133,27,1,0,True
{T5V5-E8EW30GO-2107FZEL},RRC0553,Physicist,617.0,135,27,2,0,True
{V7S7-H9DV61YF-4208EUPR},RRC0553,Physicist,367.3333333333333,92,27,1,0,True
{W7R7-K7BX29EI-0499EJNR},RRC0553,Physicist,285.31666666666666,87,27,1,0,True
{I9Y1-P8SY44IG-5367KDRT},RRC0553,Physicist,267.23333333333335,83,27,1,0,True
{I8T5-B6YI05GM-0522ZOIB},RRC0553,Physicist,592.0,135,27,2,0,True
{N3Z1-H6MU17JB-5533EKON},RRC0553,Physicist,335.51666666666665,85,27,1,0,True
{R5Z2-G0TZ12BL-9420XFWD},RRC0553,Physicist,345.51666666666665,103,27,1,0,True
{I4H5-E5FO43KL-3771PNGM},RRC0553,Physicist,306.68333333333334,80,27,1,0,True
{O9S3-P1KH99HB-5806METY},RRC0553,Physicist,331.56666666666666,77,27,1,0,True
{Q2I6-O1NF65VE-8792KLZG},RRC0553,Physicist,586.0,133,27,1,0,True
{D2K9-P0WH09KB-8591CFDS},RRC0553,Physicist,400.3,113,27,1,0,True
{J8V7-J3IB57NE-2460KBZS},SNC0187,Technician,671.0,60,27,1,0,True
{O8H5-C1XQ10NI-7911ZUCB},SNC0187,Technician,673.0,61,27,1,0,True
{C6M9-T9CK66MN-1170OCSW},SNC0187,Technician,655.0,63,27,2,0,True
{R3X5-K0TT65KB-5013FGAU},SNC0187,Technician,676.0,61,27,1,0,True
{T8C0-M5HB77AJ-4821QYKZ},RKD0604,Salesman,503.55,110,27,9,1,True
{F1X5-N2BX09XA-9987CMAS},SNC0187,Technician,668.0,61,27,1,0,True
{O5E1-X9NJ47CY-8987CRLN},SNC0187,Technician,657.0,61,27,1,0,True
{B3A8-A9CT35FN-3852YYCF},SNC0187,Technician,662.0,62,27,2,0,True
{O6M7-T1QW08OQ-6160EFLX},SNC0187,Technician,676.0,63,27,2,0,True
{T2O1-S5GC21EQ-9295CDVV},SNC0187,Technician,685.0,61,27,1,0,True
{I2W7-X8TO41XJ-9792HTOB},SNC0187,Technician,659.0,61,27,1,0,True
{Z7G5-N1EB60LL-6396EGQE},SNC0187,Technician,664.0,61,27,1,0,True
{Z0Z0-U5XZ50SD-1718ISBR},XWD0923,Mathematician,685.0,134,27,1,0,True
{A8S2-B1FZ15LO-8933FEUW},XWD0923,Mathematician,459.0833333333333,96,27,1,0,True
{G5M6-A5BK88PO-5570PPTG},XWD0923,Mathematician,354.6166666666667,95,27,2,0,True
{Y4N0-F7ND60JZ-0134FHYI},XWD0923,Mathematician,497.1166666666667,107,27,3,0,True
{J3G7-G4VU64BV-2772IBGS},XWD0923,Mathematician,256.6666666666667,76,27,1,0,True
{I0L8-W3SU10HW-3340RGXA},XWD0923,Mathematician,657.0,138,27,3,0,True
{Y1O2-R9LQ57NA-2198MIJB},XWD0923,Mathematician,684.0,134,27,1,0,True
{W8Z8-X0VE70ND-0089EVSS},XWD0923,Mathematician,675.0,133,27,1,0,True
{E4C4-T6IO01XW-0267KLBF},XWD0923,Mathematician,677.0,136,27,2,0,True
{I7A0-H7GO35OZ-5263RXBX},XWD0923,Mathematician,674.0,130,27,1,0,True
{G6R2-U7YS82MU-7695BVEW},XWD0923,Mathematician,365.75,87,27,1,0,True
{L2R2-Z8LY39MY-7105KJJQ},XWD0923,Mathematician,680.0,134,27,1,0,True
{Y3P4-F9WI15PS-8303MKZR},XWD0923,Mathematician,429.8666666666667,77,27,2,0,True
{P5E1-R6HC03IO-1647MHIZ},XWD0923,Mathematician,666.0,134,27,1,0,True
{H7A1-Y4QI43NW-5683IZSU},XWD0923,Mathematician,664.0,138,27,3,0,True
{D9N5-R9SA71IM-5386RXFF},XWD0923,Mathematician,669.0,133,27,1,0,True
{U4Y7-V4LL29UR-8172IGWZ},XWD0923,Mathematician,349.3666666666667,82,27,1,0,True
